"Variable","Topic_Number","Subtopic","Subtopic_Number","EditFlag","Description","Instrument_Variable_Name","Imputation_Strategy","table_name","Availability","Survey Year","Topic","Updated Universe","Disclosure","User Notes","Question","Variable_Number","TYPE","Present_in_Survey_Years","Associated Response Codes"
"PSTEAM","4","Heating","1","NA","Steam/hot water system is parallel equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this steam/hot water system with radiators OR other system using steam/hot water used to heat an area of this housing unit that would not be heated by this primary heating equipment?",58,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has parallel use, [insert name of equipment type]"
"PSTOVE","4","Heating","1","NA","Woodburning stove is parallel supplemental equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this woodburning, pot belly, or franklin stove used to heat an area of this housing unit that would not be heated by this primary heating equipment?",59,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has parallel use, [insert name of equipment type]"
"SAFUR","4","Heating","1","NA","Forced air furnace is supplemental heating equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this forced warm-air furnace with ducts and vents to individual rooms used to heat an area of this housing unit that would not be heated by this primary heating equipment?",60,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has supplemental use, [insert name of equipment type]"
"SCOAL","4","Heating","1","NA","Supplemental heating equipment uses coal/coke",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"This variable is a recode added to the file to provide the data users a variable just like the one they received prior to the 1997 AHS-National file",61,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Coal/coke is a fuel used by supplemental heating equipment||Blank or -9: Not reported"
"SCOKST","4","Heating","1","NA","Cookstove is supplemental heating equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this electric or gas cook stove used to heat an area of this housing unit that would not be heated by this primary heating equipment?",62,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has supplemental use, [insert name of equipment type]"
"SELECT","4","Heating","1","NA","Built-in electric units are supplemental heat equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this built-in electric unit used to heat an area of this housing unit that would not be heated by this primary heating equipment? PLEASE NOTE - Because of conflicts with system reserved words in FERRET, this item is known as SELECT_ in the",63,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has supplemental use, [insert name of equipment type]"
"SFLIN","4","Heating","1","JSFLIN","Unvented room heaters are supplemental heat equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this unvented room heater burning kerosene, gas, or oil used to heat an area of this housing unit that would not be heated by this primary heating equipment?",64,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||X: Unit has supplemental use, [insert name of equipment type]"
"SFLOT","4","Heating","1","NA","Vented room heaters are supplemental heat equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this vented room heater burning kerosene, gas, or oil used to heat an area of this housing unit that would not be heated by this primary heating equipment?",65,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has supplemental use, [insert name of equipment type]"
"SFRPL","4","Heating","1","NA","Fireplace without inserts is supplemental equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"The fireplaces in question must be considered supplemental heating equipment. The inserts option is only to distinguish between the two possibilities for supplemental heating fireplaces.","Does it have inserts, that is, equipment designed to circulate more heat into the room?",66,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: No, none have inserts"
"SFRPLI","4","Heating","1","NA","Fireplace w/ inserts is supplemental heat equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Does it have inserts, that is, equipment designed to circulate more heat into the room?",67,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Yes, some or all with inserts"
"SGAS","4","Heating","1","NA","Supplemental heating equipment uses gas",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"This variable is a recode added to the file to provide the data users a variable just like the one they received prior to the 1997 AHS-National file",68,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Gas is a fuel used by supplemental heating equipment||Blank or -9: Not reported"
"SJUICE","4","Heating","1","NA","Supplemental heating equipment uses electricity",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"This variable is a recode added to the file to provide the data users a variable just like the one they received prior to the 1997 AHS-National file",69,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity is a fuel used by supplemental heating equipment||Blank or -9: Not reported"
"SHOTH","4","Heating","1","NA","Some other type is supplemental heating equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is some other heating equipment used to heat an area of this housing unit that would not be heated by some heating equipment?",70,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has supplemental use, [insert name of equipment type]"
"SKERO","4","Heating","1","NA","Supplemental heating equipment uses kerosene",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"This variable is a recode added to the file to provide the data users a variable just like the one they received prior to the 1997 AHS-National file",71,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Kerosene is a fuel used by supplemental heating equipment||Blank or -9: Not reported"
"SHPMP","4","Heating","1","NA","Heat pump is supplemental heating equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is some electric heat pump used to heat an area of this housing unit that would not be heated by some heating equipment?",72,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has supplemental use, [insert name of equipment type]"
"SOIL","4","Heating","1","NA","Supplemental heating equipment uses fuel oil",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"This variable is a recode added to the file to provide the data users a variable just like the one they received prior to the 1997 AHS-National file",73,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Fuel oil is a fuel used by supplemental heating equipment||Blank or -9: Not reported"
"SOTHER","4","Heating","1","NA","Supplemental heating equipment uses other fuel",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"This variable is a recode added to the file to provide the data users a variable just like the one they received prior to the 1997 AHS-National file",74,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Other fuel is a fuel used by supplemental heating equipment||Blank or -9: Not reported"
"SPLF","4","Heating","1","NA","Pipeless furnace is supplemental heating equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this floor, wall, or other pipeless furnace built into the structure used to heat an area of this housing unit that would not be heated by this primary heating equipment?",75,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has supplemental use, [insert name of equipment type]"
"SPORTH","4","Heating","1","JSPORH","Portable heaters are supplemental heating equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this portable electric heater used to heat an area of this housing unit that would not be heated by this primary heating equipment?",76,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||X: Unit has supplemental use, [insert name of equipment type]"
"SSTEAM","4","Heating","1","NA","Steam/hot water system is supplemental heat equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this steam/hot water system with radiators OR other system using steam/hot water used to heat an area of this housing unit that would not be heated by this primary heating equipment?",77,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has supplemental use, [insert name of equipment type]"
"SSTOVE","4","Heating","1","NA","Woodburning stove is supplemental heating equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this woodburning, pot belly, or franklin stove used to heat an area of this housing unit that would not be heated by this primary heating equipment?",78,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has supplemental use, [insert name of equipment type]"
"SSUN","4","Heating","1","NA","Supplemental heating equipment uses solar energy",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"This variable is a recode added to the file to provide the data users a variable just like the one they received prior to the 1997 AHS-National file",79,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Solar energy is a fuel used by supplemental heating equipment||Blank or -9: Not reported"
"STEAM","4","Heating","1","NA","Steam system used as supplemental heating equipment",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","What OTHER kinds of working heating equipment does this housing unit HAVE or USE?",80,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"STOVE","4","Heating","1","NA","Wood stove used as supplemental heating equipment",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","What OTHER kinds of working heating equipment does this housing unit HAVE or USE?",81,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"SWOOD","4","Heating","1","NA","Supplemental heating equipment uses wood",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"This variable is a recode added to the file to provide the data users a variable just like the one they received prior to the 1997 AHS-National file",82,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Wood is a fuel used by supplemental heating equipment||Blank or -9: Not reported"
"WINTERELSP","4","Heating","1","NA","Electric space heater used during winter months",,"Coming Soon","NEWHOUSE","PUF","2011","Equipment and Appliances",,,,"Have you ever used any of the following to heat this home during the winter months?",83,"Character","2011","1: Checked response||2: Did not check response||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"WINTERKESP","4","Heating","1","NA","Kerosene space heater used during winter months",,"Coming Soon","NEWHOUSE","PUF","2011","Equipment and Appliances",,,,"Have you ever used any of the following to heat this home during the winter months?",84,"Character","2011","1: Checked response||2: Did not check response||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"WINTERNONE","4","Heating","1","NA","No use of any other modes to heat unit during winter months",,"Coming Soon","NEWHOUSE","PUF","2011","Equipment and Appliances",,,,"Have you ever used any of the following to heat this home during the winter months?",85,"Character","2011","1: Checked response||2: Did not check response||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"WINTEROVEN","4","Heating","1","NA","Gas oven with an open door used during winter months",,"Coming Soon","NEWHOUSE","PUF","2011","Equipment and Appliances",,,,"Have you ever used any of the following to heat this home during the winter months?",86,"Character","2011","1: Checked response||2: Did not check response||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"WINTERWOOD","4","Heating","1","NA","Outdoor wood fire boiler used during winter months",,"Coming Soon","NEWHOUSE","PUF","2011","Equipment and Appliances",,,,"Have you ever used any of the following to heat this home during the winter months?",87,"Character","2011","1: Checked response||2: Did not check response||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
